I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
*;*;*;;;-;1;0;-1;2;1;0;-50%;0;0;-;-;6;0;1;1;17%;0%;0;0;5 Julia Szczurowska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Papszun ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
4;*;2;;;-;5;0;3;4;0;0;25%;17;0;47%;29%;14;1;1;5;36%;21%;0;1;8 Zuzanna Szperlak ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Marta Budnik ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
*;5;;;;-;2;0;1;4;0;0;0%;13;0;46%;8%;7;0;1;2;29%;14%;0;0;11 Aleksandra Gromadowska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
3;4;4;;;-;10;3;2;4;0;0;0%;0;0;-;-;28;4;4;9;32%;4%;1;1;12 Monika Ga³kowska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
1;2;5;;;-;4;0;-2;6;0;0;0%;12;0;50%;8%;18;3;3;4;22%;-11%;0;0;13 Emilia Mucha ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Julia Mazur (L);I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
*;*;*;;;-;0;0;-1;0;0;0;-;20;1;90%;45%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;*;;;;-;1;0;-2;1;0;0;0%;3;0;0%;0%;5;1;2;1;20%;-40%;0;0;20 Oliwia Ba³uk ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
*;*;*;;;-;0;0;-3;4;1;0;-25%;0;0;-;-;2;0;2;0;0%;-100%;0;0;22 Sylwia Kucharska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
6;6;6;;;-;12;3;10;4;1;0;-25%;0;0;-;-;10;0;1;8;80%;70%;4;4;2 Gabriela Polañska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
4;4;4;;;-;16;4;9;6;4;0;-50%;0;0;-;-;31;2;1;15;48%;39%;1;2;3 Kiera Van Ryk ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
*;;*;;;-;0;0;0;3;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;4 Magdalena Grabka ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
1;1;1;;;-;2;2;2;13;0;0;8%;0;0;-;-;0;0;0;0;-;-;2;0;5 Marta Krajewska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;*;*;;;-;3;1;2;1;1;0;-100%;0;0;-;-;4;0;0;3;75%;75%;0;0;6 Aleksandra Rasiñska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
2;2;2;;;-;9;5;9;17;0;1;6%;22;0;45%;23%;15;0;0;5;33%;33%;3;3;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;*;*;;;-;2;1;2;1;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;1;1;8 Anna Stencel ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;*;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;9 Anna Kaczmar ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
3;3;3;;;-;6;5;5;15;1;0;-7%;0;0;-;-;8;0;0;3;38%;38%;3;3;10 Zuzanna Efimienko-M³otkowska ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
;*;;;;-;1;1;1;0;0;0;-;3;0;100%;33%;0;0;0;0;-;-;1;0;12 Alexandra Laziæ ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
5;5;5;;;-;9;6;4;13;2;0;-15%;10;0;50%;20%;23;2;1;9;39%;26%;0;1;16 Juliette Fidon-Lebleu ;I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
*;;*;;;-;0;0;0;0;0;0;-;10;0;40%;0%;0;0;0;0;-;-;0;0;17 Aleksandra Krzos (L);I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
*;*;*;;;-;0;0;0;0;0;0;-;1;0;0%;0%;0;0;0;0;-;-;0;0;20 Daria Przyby³a (L);I£ Capital Legionovia Legionowo;19.03.2021I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;19.03.2021, 17:30
5;6;1;4;;-;10;5;-1;23;0;0;4%;24;3;54%;29%;36;4;4;9;25%;3%;1;0;2 Samara Rodrigues De Almeida ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
1;2;3;6;;-;31;6;21;12;2;0;0%;0;0;-;-;60;1;7;30;50%;37%;1;0;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
*;*;*;*;;-;0;0;-1;0;0;0;-;32;1;63%;34%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;;*;2;;-;3;1;2;4;1;0;-25%;0;0;-;-;2;0;0;1;50%;50%;2;0;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
6;1;2;5;;-;11;7;7;12;2;0;-8%;0;0;-;-;13;1;1;8;62%;46%;3;0;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
3;4;5;;;-;4;0;2;13;2;0;-15%;0;0;-;-;7;0;0;4;57%;56%;0;0;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
2;3;4;*;;-;6;2;-1;10;2;0;-20%;10;0;40%;10%;18;3;2;5;28%;0%;1;0;12 Julia Twardowska ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;*;*;1;;-;2;1;-3;3;1;0;-33%;16;2;44%;31%;14;1;1;2;14%;0%;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
4;5;6;3;;-;2;0;0;13;1;0;-8%;0;0;-;-;7;0;1;0;0%;-14%;2;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;19 Zuzanna Zieliñska (L);I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
1;4;2;6;;-;8;2;5;12;1;0;-8%;1;0;0%;0%;15;0;2;4;27%;13%;4;0;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
5;2;6;4;;-;8;1;2;7;2;0;-28%;0;0;-;-;26;2;2;5;19%;4%;3;0;3 Julie Oliveira Souza ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
6;3;1;5;;-;10;2;2;11;1;1;0%;29;0;41%;17%;44;3;4;9;20%;5%;0;0;4 Jessica Rivero Marin ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
3;6;4;2;;-;25;12;19;11;1;1;0%;33;0;52%;30%;45;4;1;21;47%;36%;3;0;6 Olivia Ró¿añski ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
4;1;5;3;;-;10;3;7;11;0;0;0%;0;0;-;-;15;2;1;7;47%;27%;3;0;10 Shelly Stafford ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;16;0;63%;50%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
*;*;*;*;;-;1;1;0;5;1;1;0%;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
*;*;;;;-;1;1;1;2;0;0;0%;0;0;-;-;0;0;0;0;-;-;1;0;17 Paulina Majkowska ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
2;5;3;1;;-;6;4;5;30;1;3;20%;0;0;-;-;4;0;0;1;25%;25%;2;0;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;62 Marta Matejko ;I£ Capital Legionovia Legionowo;15.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;15.03.2021, 17:30
3;4;6;1;;-;11;3;11;13;0;0;0%;0;0;-;-;16;0;0;7;44%;44%;4;2;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
1;2;4;;;-;4;3;4;8;0;0;0%;1;0;100%;0%;11;0;0;3;27%;27%;1;2;3 Julie Oliveira Souza ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
2;3;5;6;;-;15;5;7;16;4;2;-6%;23;0;48%;30%;33;2;2;12;36%;24%;1;1;4 Jessica Rivero Marin ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
5;6;2;3;;-;20;6;5;15;2;0;-13%;33;3;48%;12%;54;4;6;18;33%;15%;2;1;6 Olivia Ró¿añski ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
6;1;3;4;;-;15;4;14;11;1;0;-9%;2;0;50%;0%;22;0;0;13;59%;59%;2;8;10 Shelly Stafford ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;*;*;;-;0;0;-1;0;0;0;-;27;1;44%;19%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;;;;-;0;0;0;2;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
;;;*;;-;1;0;1;1;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;0;0;17 Paulina Majkowska ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
4;5;1;2;;-;2;0;1;25;1;0;-4%;0;0;-;-;2;0;0;1;50%;50%;1;1;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;*;5;;-;3;3;1;3;1;0;-33%;0;0;-;-;8;1;0;1;13%;0%;2;0;62 Marta Matejko ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
4;4;4;4;;-;11;4;0;18;2;2;0%;11;1;64%;27%;39;3;5;9;23%;3%;0;2;1 Ana Bjelica ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
1;1;1;1;;-;9;5;5;15;0;1;13%;37;1;51%;24%;27;2;1;8;30%;19%;0;2;2 Samara Rodrigues De Almeida ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
3;3;3;3;;-;33;10;25;18;1;1;11%;0;0;-;-;61;3;4;29;48%;36%;3;1;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;26;0;58%;35%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
2;2;2;2;;-;5;1;2;16;3;0;-6%;0;0;-;-;6;0;0;4;67%;67%;1;3;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;*;*;;-;6;3;5;2;1;0;-50%;0;0;-;-;5;0;0;4;80%;80%;2;3;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
5;;;*;;-;1;0;-1;5;1;0;-20%;0;0;-;-;6;0;1;1;17%;0%;0;0;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
;*;*;;;-;1;1;0;2;0;0;0%;3;0;67%;33%;3;0;1;1;33%;0%;0;0;12 Julia Twardowska ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;6;0;33%;33%;0;0;0;0;-;-;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
*;5;5;5;;-;5;2;0;7;4;0;-56%;3;0;100%;33%;9;0;1;5;56%;44%;0;3;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
6;6;6;6;;-;4;2;3;16;1;0;0%;0;0;-;-;3;0;0;2;67%;67%;2;3;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;20.03.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;20.03.2021, 17:30
