I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Aleksandra ¯urawska (L);I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;19 Bojana Milenkoviæ ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;*;6;;;-;2;0;0;2;1;0;-50%;2;0;100%;50%;5;1;0;2;40%;20%;0;0;21 Marta Pol ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
4;5;4;;;-;2;0;-1;6;0;0;0%;0;0;-;-;6;3;0;0;0%;-50%;2;1;2 Marta Orzy³owska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
3;4;3;;;-;4;0;-2;7;0;0;0%;19;2;47%;16%;17;1;3;4;24%;0%;0;0;3 Kinga Stronias ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
6;1;6;;;-;8;4;6;7;0;0;14%;26;1;50%;19%;18;1;0;6;33%;28%;2;2;5 Regiane Bidias ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
1;2;1;;;-;10;2;7;11;2;1;0%;2;1;0%;0%;8;0;0;8;100%;100%;1;1;7 Vivian Pellegrino ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Gabriela Borawska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;*;;;;-;0;0;-1;1;1;0;-100%;3;0;67%;0%;2;0;0;0;0%;0%;0;0;10 Marta Pamu³a ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;1;11 Aleksandra Muszyñska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
*;*;*;;;-;0;0;-2;0;0;0;-;15;2;47%;13%;0;0;0;0;-;-;0;0;13 Adriana Adamek (L);I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
*;*;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Weronika Wo³odko ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
5;6;5;;;-;0;0;-1;8;0;0;12%;0;0;-;-;3;0;1;0;0%;-33%;0;0;17 Gabriela Makarowska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
*;*;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;18 Oliwia Sieradzka ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
2;3;2;;;-;10;0;3;9;1;0;-11%;0;0;-;-;27;4;2;10;37%;15%;0;2;20 Anna B¹czyñska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
2;1;2;;;-;2;1;-2;7;2;0;-28%;0;0;-;-;9;1;1;1;11%;-11%;1;3;2 Marta Orzy³owska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
1;6;1;;;-;4;1;-2;3;1;0;-33%;17;3;35%;18%;15;1;1;4;27%;13%;0;0;3 Kinga Stronias ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
*;*;*;;;-;1;0;-2;6;0;0;0%;8;0;38%;13%;5;0;3;1;20%;-40%;0;0;5 Regiane Bidias ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
5;4;5;;;-;7;2;5;9;1;1;0%;1;0;100%;0%;10;1;0;4;40%;30%;2;4;7 Vivian Pellegrino ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Gabriela Borawska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
4;3;4;;;-;4;2;-4;7;2;1;-14%;26;3;38%;12%;12;1;2;3;25%;0%;0;0;10 Marta Pamu³a ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;11 Aleksandra Muszyñska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
*;*;*;;;-;0;0;-1;0;0;0;-;13;1;69%;31%;0;0;0;0;-;-;0;0;13 Adriana Adamek (L);I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
*;*;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;14 Weronika Wo³odko ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
6;5;6;;;-;1;1;-2;7;1;0;0%;1;1;0%;0%;2;1;0;0;0%;-50%;1;1;17 Gabriela Makarowska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;*;*;;;-;1;0;-2;0;0;0;-;0;0;-;-;5;1;2;1;20%;-40%;0;0;18 Oliwia Sieradzka ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
3;2;3;;;-;11;2;6;7;0;0;0%;0;0;-;-;27;3;2;10;37%;19%;1;0;20 Anna B¹czyñska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
*;*;*;;;-;0;0;-1;0;0;0;-;22;1;41%;18%;0;0;0;0;-;-;0;0;1 Maria Stenzel (L);I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Danielle Drews ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;*;;;-;0;0;-1;2;1;0;-50%;0;0;-;-;0;0;0;0;-;-;0;0;3 Naiane De Almeida Rios ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
1;1;1;;;-;2;2;1;11;1;1;0%;0;0;-;-;0;0;0;0;-;-;1;2;4 Marlena Kowalewska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
3;3;3;;;-;8;5;6;7;0;0;0%;0;0;-;-;12;2;0;6;50%;33%;2;3;5 Agnieszka K¹kolewska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
4;4;4;;;-;18;7;14;15;2;2;20%;0;0;-;-;17;2;0;11;65%;53%;5;1;6 Jovana Brakocevic-Canzian ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
6;6;6;;;-;7;6;4;7;1;0;-14%;0;0;-;-;8;1;1;5;63%;38%;2;4;9 Iga Wasilewska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;*;*;;;-;3;2;2;2;1;1;0%;0;0;-;-;1;0;0;1;100%;100%;1;1;10 Katarzyna Po³eæ ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
2;2;2;;;-;10;5;6;14;0;1;21%;7;1;57%;0%;18;1;2;9;50%;33%;0;1;11 Martyna £ukasik ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;*;;;-;3;3;3;5;0;2;40%;0;0;-;-;2;0;0;1;50%;50%;0;0;12 Aleksandra Lipska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
5;5;5;;;-;5;4;1;11;2;1;0%;11;0;55%;18%;16;0;2;4;25%;12%;0;1;15 Martyna Czyrniañska ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Aleksandra ¯urawska (L);I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;*;;;-;2;1;2;0;0;0;-;0;0;-;-;4;0;0;2;50%;50%;0;0;19 Bojana Milenkoviæ ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
*;;;;;-;0;0;-1;1;1;0;-100%;0;0;-;-;0;0;0;0;-;-;0;0;21 Marta Pol ;I£ Capital Legionovia Legionowo;11.04.2022I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;11.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Gabriela Polañska ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
6;5;6;5;5;-;22;9;20;21;0;0;10%;5;0;0%;0%;43;2;0;22;51%;47%;0;3;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
1;6;1;6;6;-;7;4;2;18;2;2;0%;4;0;0%;0%;11;1;2;4;36%;9%;1;0;8 Anna Stencel ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
2;1;2;1;1;-;2;2;1;21;0;0;5%;0;0;-;-;3;0;1;0;0%;-33%;2;5;10 Katarzyna Wenerska ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;*;*;*;*;-;0;0;0;0;0;0;-;31;0;61%;45%;0;0;0;0;-;-;0;0;12 Aleksandra Szczyg³owska (L);I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Dominika Witowska ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
3;2;3;*;2;-;21;13;13;14;0;2;14%;30;1;27%;7%;55;4;3;18;33%;20%;1;1;15 Kara Bajema ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;;;;;-;1;1;0;0;0;0;-;0;0;-;-;3;0;1;1;33%;0%;0;0;16 Izabella Rapacz ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
5;4;5;4;4;-;19;9;11;13;2;0;0%;0;0;-;-;37;3;3;16;43%;27%;3;3;17 Malwina Smarzek ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;20 Daria Przyby³a (L);I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;;*;2;;-;3;1;-1;1;0;0;0%;7;2;29%;29%;8;1;1;3;38%;12%;0;0;27 Ann Kalandadze ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
4;3;4;3;3;-;10;5;7;20;1;4;20%;4;1;75%;25%;9;1;0;4;44%;33%;2;3;95 Magdalena Jurczyk ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;;;;;-;0;0;0;2;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;98 Julia Biñczycka ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
1;1;1;;*;-;6;2;-5;11;3;0;-27%;18;3;33%;17%;19;3;2;5;26%;0%;1;2;1 Aleksandra Kaza³a ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
6;6;;;;-;1;1;0;8;1;1;0%;0;0;-;-;3;0;0;0;0%;0%;0;1;3 Ewelina Polak ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;*;4;4;4;-;8;3;4;9;1;0;0%;24;1;42%;25%;24;1;1;7;29%;21%;1;2;5 Martyna Borowczak ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Mazur (L);I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
;*;5;5;5;-;2;1;-1;12;1;1;8%;1;1;0%;0%;6;0;1;1;17%;0%;0;3;8 Magdalena Janiuk ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;*;6;6;6;-;2;1;0;13;2;1;-8%;0;0;-;-;1;0;0;1;100%;100%;0;0;10 Karina Chmielewska ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
2;2;2;2;2;-;10;4;5;17;2;0;-6%;1;0;100%;100%;15;3;0;3;20%;0%;7;3;11 Dominika Pierzcha³a ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
5;5;;;;-;1;1;0;2;0;0;0%;0;0;-;-;5;1;0;0;0%;-20%;1;2;13 Martyna Œwirad ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;*;*;*;*;-;0;0;0;0;0;0;-;16;0;56%;38%;0;0;0;0;-;-;0;0;16 Kinga Drabek (L);I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Koleta £yszkiewicz ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
3;3;3;3;3;-;32;7;28;8;0;0;0%;1;0;0%;0%;53;2;2;31;58%;51%;1;3;18 Gabriela Orvosova ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
*;;;;;-;2;0;2;0;0;0;-;0;0;-;-;3;0;0;2;67%;67%;0;0;19 Alina Bartkowska ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
4;4;*;1;1;-;9;4;2;11;0;1;9%;44;3;41%;27%;37;1;3;8;22%;11%;0;1;22 Weronika Szlagowska ;I£ Capital Legionovia Legionowo;04.04.2022I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.04.2022, 20:30
1;1;1;4;;-;16;3;8;15;1;0;-7%;27;2;22%;0%;36;3;2;14;39%;25%;2;1;1 Aleksandra Kaza³a ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;*;;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Ewelina Polak ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
*;*;*;*;;-;3;0;-2;4;2;0;-50%;14;1;29%;7%;6;2;0;2;33%;0%;1;0;5 Martyna Borowczak ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Mazur (L);I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
5;5;5;2;;-;11;7;7;13;3;1;-15%;0;0;-;-;12;1;0;6;50%;42%;4;5;8 Magdalena Janiuk ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
6;6;6;3;;-;2;2;2;12;0;1;8%;0;0;-;-;1;0;0;0;0%;0%;1;2;10 Karina Chmielewska ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
2;2;2;5;;-;8;5;5;11;2;1;-9%;0;0;-;-;10;0;1;3;30%;20%;4;1;11 Dominika Pierzcha³a ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;;*;;;-;0;0;-1;1;0;0;0%;0;0;-;-;1;1;0;0;0%;-100%;0;1;13 Martyna Œwirad ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
*;*;*;*;;-;0;0;-2;0;0;0;-;28;2;43%;11%;0;0;0;0;-;-;0;0;16 Kinga Drabek (L);I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Koleta £yszkiewicz ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
3;3;3;6;;-;15;6;8;10;0;0;10%;0;0;-;-;40;4;3;12;30%;12%;3;1;18 Gabriela Orvosova ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;*;*;*;;-;1;0;-1;3;1;0;0%;0;0;-;-;5;1;0;1;20%;0%;0;0;19 Alina Bartkowska ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
4;4;4;1;;-;7;6;3;10;0;0;0%;13;1;62%;31%;27;2;1;3;11%;0%;4;1;22 Weronika Szlagowska ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
5;5;4;5;;-;9;2;1;9;1;2;22%;0;0;-;-;34;1;6;7;21%;0%;0;3;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Katarzyna Bagrowska ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
6;6;5;6;;-;17;11;12;10;0;1;10%;25;1;48%;16%;37;1;3;15;41%;30%;1;4;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
1;1;6;1;;-;7;0;0;14;2;0;-14%;0;0;-;-;13;2;3;7;54%;15%;0;2;8 Anna Stencel ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
2;2;1;2;;-;2;2;1;18;1;1;0%;0;0;-;-;1;0;0;1;100%;100%;0;2;10 Katarzyna Wenerska ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;13;0;38%;15%;0;0;0;0;-;-;0;0;12 Aleksandra Szczyg³owska (L);I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;;;*;;-;3;1;2;2;1;0;-50%;0;0;-;-;2;0;0;2;100%;100%;1;1;14 Dominika Witowska ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
3;3;2;3;;-;13;5;2;14;1;0;0%;31;2;42%;19%;55;3;5;12;22%;7%;1;3;15 Kara Bajema ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
*;;;*;;-;1;0;-1;1;1;0;-100%;0;0;-;-;4;0;1;1;25%;0%;0;0;16 Izabella Rapacz ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Malwina Smarzek ;I£ Capital Legionovia Legionowo;09.04.2022I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;09.04.2022, 17:30
