I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
*;*;*;*;;0;0;0;0;0,00;26;3;3;16;62%;10;38%;0;0;0;0;0%;0;0,00;11 Paulina Maj-Erwardt (L);BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
*;*;;;;1;1;0;0;0,00;0;0;0;0;-;0;-;1;0;0;1;100%;0;0,00;12 Magda JagodziÒska ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;;;*;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Martyna åwirad ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
3;2;3;2;;7;12;1;2;0,25;1;0;0;1;100%;0;0%;8;2;0;3;38%;3;0,75;15 Kornelia Moskwa ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
2;1;2;1;;14;23;2;1;0,50;19;1;3;10;53%;6;32%;31;1;5;9;29%;3;0,75;16 Emilia Mucha ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;*;;*;;0;3;0;0;0,00;1;0;1;0;0%;0;0%;2;1;0;0;0%;0;0,00;1 Marta Wellna ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
6;1;6;1;;2;12;0;1;0,00;0;0;0;0;-;0;-;2;0;0;2;100%;0;0,00;2 Julia Nowicka ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
4;5;4;5;;16;9;2;2;0,50;32;4;4;17;53%;5;16%;37;6;5;13;35%;1;0,25;3 Olivia RÛøaÒski ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Marta £yczakowska ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
3;4;3;;;7;9;0;2;0,00;0;0;0;0;-;0;-;22;3;2;6;27%;1;0,33;6 Katarzyna Konieczna ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
5;6;5;6;;13;14;1;2;0,25;0;0;0;0;-;0;-;19;1;1;11;58%;1;0,25;9 Nina Herelova ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
*;;;;;0;3;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Dominika Kozyra ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
*;*;*;*;;0;0;0;0;0,00;19;2;5;10;53%;6;32%;0;0;0;0;0%;0;0,00;11 Paulina Maj-Erwardt (L);BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;*;*;4;;1;3;0;0;0,00;0;0;0;0;-;0;-;9;1;0;1;11%;0;0,00;12 Magda JagodziÒska ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
*;;;*;;4;3;0;2;0,00;0;0;0;0;-;0;-;2;0;0;2;100%;2;1,00;13 Martyna åwirad ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
2;3;2;3;;8;8;0;1;0,00;0;0;0;0;-;0;-;10;0;0;5;50%;3;0,75;15 Kornelia Moskwa ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
1;2;1;2;;10;12;0;2;0,00;41;3;9;18;44%;10;24%;29;3;6;9;31%;1;0,25;16 Emilia Mucha ;BKS PROFI CREDIT Bielsko-Bia≥a;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Lucie Muhlsteinova ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
2;1;5;1;;16;10;1;0;0,25;24;0;9;9;38%;7;29%;32;2;3;15;47%;0;0,00;5 Regiane Bidias ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
5;4;2;4;;13;20;1;1;0,25;19;2;9;7;37%;3;16%;23;1;2;11;48%;1;0,25;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
*;;;;;1;1;0;0;0,00;0;0;0;0;-;0;-;4;1;1;1;25%;0;0,00;8 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Anna Korabiec (L);£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
4;3;1;3;;10;17;0;3;0,00;0;0;0;0;-;0;-;28;1;2;8;29%;2;0,50;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
*;*;*;*;;0;0;0;0;0,00;21;1;9;7;33%;3;14%;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Izabela KowaliÒska ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
3;2;6;2;;11;20;3;0;0,75;0;0;0;0;-;0;-;7;0;0;5;71%;3;0,75;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
6;5;3;5;;10;9;0;0;0,00;0;0;0;0;-;0;-;6;0;0;3;50%;7;1,75;16 Zuzanna Efimienko-M≥otkowska ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
1;6;4;6;;8;20;4;0;1,00;0;0;0;0;-;0;-;8;0;1;3;38%;1;0,25;17 Marta WÛjcik ;£KS Commercecon £Ûdü;28.03.2019BKS PROFI CREDIT Bielsko-Bia≥a-1:3-£KS Commercecon £Ûdü;28.03.2019, 17:30;2019/2020;play-off;A-2
*;*;*;;;0;0;0;0;0,00;10;0;5;5;50%;3;30%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
*;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Gabriela PolaÒska ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
2;2;2;;;17;11;3;2;1,00;5;0;0;3;60%;3;60%;25;1;5;11;44%;3;1,00;3 Magdalena Stysiak ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
3;3;3;;;3;13;0;0;0,00;0;0;0;0;-;0;-;7;0;1;2;29%;1;0,33;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
4;4;4;;;18;13;0;3;0,00;0;0;0;0;-;0;-;40;3;5;17;42%;1;0,33;6 Jovana Brakocevic-Canzian ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
*;*;*;;;0;7;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Julia Kπkol ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
6;6;6;;;8;4;0;1;0,00;1;0;0;1;100%;0;0%;11;1;1;6;55%;2;0,67;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
1;1;1;;;8;16;5;0;1,67;2;1;1;0;0%;0;0%;4;1;0;2;50%;1;0,33;12 Femke Stoltenborg ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ewelina Tobiasz ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
*;*;;;;1;4;1;1;0,50;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Oliwia Urban ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
5;5;5;;;6;7;0;1;0,00;43;3;19;13;30%;7;16%;20;1;0;6;30%;0;0,00;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
2;1;1;;;9;14;1;2;0,33;28;2;16;6;21%;3;11%;20;1;1;7;35%;1;0,33;1 Patrycja Balmas ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
*;*;*;;;0;0;0;0;0,00;7;1;1;3;43%;1;14%;0;0;0;0;0%;0;0,00;3 Monika Jag≥a (L);Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
3;2;2;;;5;19;2;1;0,67;0;0;0;0;-;0;-;5;0;0;0;0%;3;1,00;4 Marta Pol ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
6;5;5;;;12;5;0;2;0,00;0;0;0;0;-;0;-;12;0;1;7;58%;5;1,67;5 Natalia Misiuna ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
1;6;6;;;0;6;0;0;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;0;0,00;7 Magdalena Mazurek ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
5;4;;;;4;7;1;0;0,50;4;1;2;0;0%;0;0%;9;1;2;1;11%;2;1,00;8 Ewelina Øurowska ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
4;3;3;;;14;13;0;2;0,00;0;0;0;0;-;0;-;33;2;2;14;42%;0;0,00;9 Tamara Ga≥ucha ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
*;*;*;;;0;0;0;0;0,00;22;5;6;7;32%;5;23%;0;0;0;0;0%;0;0,00;10 Joanna Kuligowska (L);Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Kinga RÛøyÒska ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
*;*;4;;;8;5;0;1;0,00;6;0;2;3;50%;3;50%;16;2;2;7;44%;1;0,33;14 Monika Fedusio ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ma≥gorzata Andersohn ;Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019Grot Budowlani £Ûdü-3:0-Bank Pocztowy Pa≥ac Bydgoszcz;22.03.2019, 17:30;2019/2020;play-off;B-1
1;;*;;;3;6;0;1;0,00;6;0;4;2;33%;2;33%;6;1;0;3;50%;0;0,00;1 Patrycja Balmas ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
*;;*;;;0;0;0;0;0,00;14;3;5;4;29%;3;21%;0;0;0;0;0%;0;0,00;3 Monika Jag≥a (L);Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
2;2;*;;;1;8;1;0;0,33;1;1;0;0;0%;0;0%;5;2;1;0;0%;0;0,00;4 Marta Pol ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
5;5;5;;;4;8;1;0;0,33;0;0;0;0;-;0;-;8;0;0;1;12%;2;0,67;5 Natalia Misiuna ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
6;6;6;;;4;7;0;0;0,00;0;0;0;0;-;0;-;4;0;0;3;75%;1;0,33;7 Magdalena Mazurek ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
4;4;4;;;12;9;1;2;0,33;10;1;1;5;50%;4;40%;32;4;4;10;31%;1;0,33;8 Ewelina Øurowska ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
3;3;3;;;7;10;0;0;0,00;0;0;0;0;-;0;-;28;4;2;7;25%;0;0,00;9 Tamara Ga≥ucha ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
*;*;*;;;0;0;0;0;0,00;24;4;12;4;17%;3;13%;0;0;0;0;0%;0;0,00;10 Joanna Kuligowska (L);Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
;;2;;;2;4;0;0;0,00;0;0;0;0;-;0;-;2;0;0;2;100%;0;0,00;13 Kinga RÛøyÒska ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
*;1;1;;;10;9;0;0;0,00;9;2;1;2;22%;1;11%;20;1;2;9;45%;1;0,33;14 Monika Fedusio ;Bank Pocztowy Pa≥ac Bydgoszcz;28.03.2019Bank Pocztowy Pa≥ac Bydgoszcz-0:3-Grot Budowlani £Ûdü;28.03.2019, 20:30;2019/2020;play-off;B-2
